Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,carriesin_3rd,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
407,Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,35-095,1986,20,799,717,791,9,0,0,538,0,0,,0,0,342,1416,667,0,0,0,0,0,339,335,98.8,0,Matches
408,Ken Sema\1770bd68,se SWE,MFFW,Watford,28-131,1993,5.8,198,15,58,90,63,9,192,6,13,46.2,7,2,124,655,382,18,2,3,10,14,177,110,62.1,20,Matches
409,Nélson Semedo\d04b94db,pt POR,DF,Wolves,28-084,1993,18.4,1139,74,319,482,430,47,980,28,53,52.8,33,2,729,3773,2401,122,40,15,31,22,766,663,86.6,65,Matches
410,Ryan Sessegnon\6aa3e78b,eng ENG,DFMF,Tottenham,21-266,2000,2.5,121,9,40,41,46,8,108,2,7,28.6,2,0,68,394,210,10,1,3,3,6,72,61,84.7,5,Matches
411,Jamie Shackleton\8d03ca5a,eng ENG,DF,Leeds United,22-123,1999,7,442,25,166,216,91,12,383,7,13,53.8,7,1,282,1392,740,26,7,2,4,6,281,253,90,12,Matches
412,Luke Shaw\9c94165b,eng ENG,DF,Manchester Utd,26-211,1995,13.1,975,42,235,465,351,10,809,5,12,41.7,6,0,587,3208,1953,73,37,1,8,10,684,613,89.6,27,Matches
413,Jonjo Shelvey\3727dd3c,eng ENG,MF,Newcastle Utd,29-346,1992,11,590,25,191,310,120,0,530,6,7,85.7,7,0,341,1575,643,17,6,0,6,5,347,329,94.8,3,Matches
414,Francisco Sierralta\0f933743,cl CHI,DF,Watford,24-278,1997,4.7,246,68,193,62,2,2,241,1,1,100,1,0,122,524,250,1,0,0,2,1,136,133,97.8,0,Matches
415,Bernardo Silva\3eb22ec9,pt POR,MFFW,Manchester City,27-182,1994,20.9,1499,34,195,735,686,134,1454,41,65,63.1,46,2,1152,6783,3872,227,67,27,26,24,1338,1170,87.4,143,Matches
416,Fábio Silva\e7aa9d7c,pt POR,FWMF,Wolves,19-204,2002,1.5,53,1,5,24,29,8,50,1,2,50,1,0,27,200,115,6,2,0,5,3,89,39,43.8,10,Matches
417,Thiago Silva\86e7deaf,br BRA,DF,Chelsea,37-139,1984,18.3,1645,245,806,907,57,19,1614,4,5,80,4,1,1103,6181,3822,120,19,1,5,2,1223,1205,98.5,3,Matches
418,Ellis Simms\26d3b5be,eng ENG,FW,Everton,21-034,2001,0.7,20,2,4,13,3,1,19,0,0,,0,0,8,6,1,1,0,1,0,1,30,13,43.3,0,Matches
419,Moussa Sissoko\2acd49b9,fr FRA,MF,Watford,32-176,1989,18.8,812,81,248,455,163,20,794,23,31,74.2,24,2,440,2624,1367,43,14,3,16,18,484,419,86.6,28,Matches
420,Oliver Skipp\6250083a,eng ENG,MF,Tottenham,21-145,2000,15,952,30,192,654,156,10,936,2,3,66.7,2,0,646,3134,1730,88,27,5,9,12,731,692,94.7,13,Matches
421,William Smallbone\5e105217,ie IRL,MF,Southampton,21-352,2000,0.8,28,2,6,10,12,4,27,0,1,0,0,0,14,67,38,2,0,1,2,0,18,13,72.2,4,Matches
422,Emile Smith Rowe\17695062,eng ENG,MFFW,Arsenal,21-195,2000,14.2,678,14,99,334,312,43,650,25,38,65.8,26,0,494,2869,1879,93,40,12,23,23,598,500,83.6,54,Matches
423,Cédric Soares\839c14e1,pt POR,DF,Arsenal,30-161,1991,2.4,99,14,35,41,26,0,83,0,1,0,0,0,49,199,88,4,3,0,0,0,62,51,82.3,0,Matches
424,Tomáš Souček\6613c819,cz CZE,MF,West Ham,26-346,1995,20.9,1109,98,309,597,260,60,1100,7,14,50,8,1,575,2630,1238,52,21,2,20,12,814,666,81.8,38,Matches
425,Boubakary Soumaré\ae59b359,fr FRA,MF,Leicester City,22-346,1999,10.7,591,26,153,356,113,5,589,7,13,53.8,8,1,386,1755,739,33,5,1,14,15,467,418,89.5,19,Matches
426,Çağlar Söyüncü\21166ff4,tr TUR,DF,Leicester City,25-261,1996,17.7,1289,191,744,587,37,8,1259,5,6,83.3,5,0,806,4178,1895,36,11,0,4,3,871,856,98.3,1,Matches
